Transaction_ID,Customer_ID,Transaction_Date,Age,Gender,City,Account_Type,Transaction_Type,Payment_Method,Amount,Balance
TXN000040,1475,2024-01-03 20:20:05.400540,26,Male,Hyderabad,Savings,Withdrawal,Debit Card,61343.96,331133.75
TXN000041,1059,2024-01-03 22:05:13.231323,49,Male,Bangalore,Savings,Withdrawal,Debit Card,35286.4,230684.13
TXN000042,1511,2024-01-03 23:50:21.062106,32,Male,Pune,Current,Withdrawal,Debit Card,13276.36,463070.73
TXN000043,1682,2024-01-04 01:35:28.892889,54,Female,Mumbai,Savings,Transfer,UPI,64789.1,450572.86
TXN000044,1476,2024-01-04 03:20:36.723672,30,Male,Hyderabad,Current,Deposit,Net Banking,76892.76,203788.29
TXN000045,1700,2024-01-04 05:05:44.554455,22,Female,Bangalore,Savings,Transfer,ATM,19063.73,284002.28
TXN000046,1976,2024-01-04 06:50:52.385238,28,Female,Chennai,Savings,Deposit,Debit Card,49537.19,453160.12
TXN000047,1783,2024-01-04 08:36:00.216021,27,Male,Pune,Savings,Transfer,Debit Card,39784.81,163102.34
TXN000048,1190,2024-01-04 10:21:08.046804,69,Male,Chennai,Savings,Withdrawal,ATM,20649.74,206730.93
TXN000049,1958,2024-01-04 12:06:15.877587,30,Female,Chennai,Savings,Withdrawal,Net Banking,24606.78,397542.22
TXN000050,1687,2024-01-04 13:51:23.708370,58,Male,Mumbai,Savings,Deposit,UPI,23843.65,350826.23
TXN000051,1958,2024-01-04 15:36:31.539153,70,Male,Bangalore,Savings,Withdrawal,UPI,41951.2,29081.94
TXN000052,1563,2024-01-04 17:21:39.369936,63,Female,Bangalore,Savings,Transfer,UPI,39107.15,63101.34
TXN000053,1876,2024-01-04 19:06:47.200720,67,Female,Chennai,Savings,Deposit,UPI,55462.46,423900.62
TXN000054,1567,2024-01-04 20:51:55.031503,32,Female,Pune,Savings,Deposit,Debit Card,9411.75,19720.68
TXN000055,1244,2024-01-04 22:37:02.862286,59,Female,Delhi,Current,Deposit,UPI,58166.91,460364.96
TXN000056,1832,2024-01-05 00:22:10.693069,24,Female,Chennai,Savings,Deposit,Net Banking,2282.42,139517.61
TXN000057,1505,2024-01-05 02:07:18.523852,57,Female,Mumbai,Savings,Deposit,ATM,25811.78,301197.7
TXN000058,1131,2024-01-05 03:52:26.354635,45,Male,Chennai,Savings,Withdrawal,UPI,50263.59,284467.54
TXN000059,1485,2024-01-05 05:37:34.185418,49,Male,Pune,Current,Deposit,UPI,68724.94,201145.61
TXN000060,1819,2024-01-05 07:22:42.016201,52,Male,Pune,Current,Withdrawal,UPI,77149.44,20561.28
TXN000061,1647,2024-01-05 09:07:49.846984,32,Female,Chennai,Current,Transfer,Net Banking,3652.58,100273.27
TXN000062,1021,2024-01-05 10:52:57.677767,65,Female,Bangalore,Savings,Withdrawal,Debit Card,53794.94,309411.88
TXN000063,1841,2024-01-05 12:38:05.508550,53,Male,Chennai,Savings,Deposit,UPI,35508.22,225954.52
TXN000064,1167,2024-01-05 14:23:13.339333,38,Male,Hyderabad,Savings,Withdrawal,UPI,69521.4,209849.34
TXN000065,1274,2024-01-05 16:08:21.170117,23,Male,Hyderabad,Savings,Withdrawal,UPI,28449.6,53362.94
TXN000066,1388,2024-01-05 17:53:29.000900,18,Female,Delhi,Current,Deposit,UPI,74397.99,176828.08
TXN000067,1601,2024-01-05 19:38:36.831683,21,Male,Mumbai,Savings,Deposit,Debit Card,60263.47,265583.12
TXN000068,1316,2024-01-05 21:23:44.662466,28,Male,Mumbai,Savings,Transfer,Debit Card,78988.27,43457.9
TXN000069,1014,2024-01-05 23:08:52.493249,61,Male,Bangalore,Savings,Withdrawal,ATM,98440.96,38014.4
TXN000070,1242,2024-01-06 00:54:00.324032,43,Female,Mumbai,Current,Deposit,Net Banking,90867.74,248318.92
TXN000071,1777,2024-01-06 02:39:08.154815,54,Male,Delhi,Savings,Withdrawal,UPI,59369.69,282819.83
TXN000072,1346,2024-01-06 04:24:15.985598,40,Male,Hyderabad,Savings,Deposit,ATM,89386.84,132532.54
TXN000073,1565,2024-01-06 06:09:23.816381,46,Female,Bangalore,Savings,Transfer,Debit Card,15393.67,166254.34
TXN000074,1898,2024-01-06 07:54:31.647164,38,Female,Pune,Savings,Transfer,UPI,4399.21,399450.86
TXN000075,1340,2024-01-06 09:39:39.477947,65,Female,Hyderabad,Savings,Deposit,UPI,53360.01,435271.83
TXN000076,1092,2024-01-06 11:24:47.308730,62,Female,Delhi,Savings,Withdrawal,ATM,97439.54,165988.2
TXN000077,1367,2024-01-06 13:09:55.139513,62,Female,Bangalore,Savings,Withdrawal,UPI,71002.67,181078.71
TXN000078,1956,2024-01-06 14:55:02.970297,66,Male,Chennai,Current,Withdrawal,ATM,30583.73,416011.65
TXN000079,1455,2024-01-06 16:40:10.801080,44,Male,Mumbai,Current,Deposit,ATM,66910.26,487048.08
TXN000080,1428,2024-01-06 18:25:18.631863,56,Female,Delhi,Savings,Withdrawal,UPI,4086.78,163693.63
TXN000081,1509,2024-01-06 20:10:26.462646,57,Female,Bangalore,Current,Deposit,UPI,47114.9,395419.65
TXN000082,1776,2024-01-06 21:55:34.293429,30,Female,Hyderabad,Savings,Withdrawal,UPI,23801.84,242447.72
TXN000083,1943,2024-01-06 23:40:42.124212,40,Female,Bangalore,Current,Withdrawal,ATM,5014.9,135545.38
TXN000084,1035,2024-01-07 01:25:49.954995,33,Male,Chennai,Current,Withdrawal,UPI,25066.05,342483.67
TXN000085,1206,2024-01-07 03:10:57.785778,47,Male,Delhi,Savings,Withdrawal,Net Banking,72273.8,233962.44
TXN000086,1081,2024-01-07 04:56:05.616561,21,Female,Bangalore,Savings,Withdrawal,Debit Card,55163.76,137740.41
TXN000087,1932,2024-01-07 06:41:13.447344,57,Female,Pune,Savings,Withdrawal,UPI,2441.15,58078.67
TXN000088,1562,2024-01-07 08:26:21.278127,33,Female,Delhi,Current,Withdrawal,Debit Card,41032.8,434142.43
TXN000089,1872,2024-01-07 10:11:29.108910,48,Female,Delhi,Savings,Deposit,ATM,75241.89,439940.56
TXN000090,1388,2024-01-07 11:56:36.939693,70,Male,Hyderabad,Savings,Deposit,UPI,95465.01,42106.07
TXN000091,1002,2024-01-07 13:41:44.770477,59,Female,Mumbai,Savings,Deposit,ATM,87448.32,333380.71
TXN000092,1390,2024-01-07 15:26:52.601260,42,Female,Pune,Current,Deposit,Debit Card,251.82,85475.83
TXN000093,1566,2024-01-07 17:12:00.432043,61,Male,Chennai,Current,Withdrawal,UPI,21948.33,324928.44
TXN000094,1106,2024-01-07 18:57:08.262826,29,Female,Bangalore,Savings,Withdrawal,UPI,20852.91,454270.51
TXN000095,1772,2024-01-07 20:42:16.093609,43,Male,Mumbai,Savings,Deposit,UPI,41368.15,133806.27
TXN000096,1822,2024-01-07 22:27:23.924392,54,Female,Hyderabad,Current,Transfer,UPI,64610.88,177224.97
TXN000097,1477,2024-01-08 00:12:31.755175,65,Female,Mumbai,Current,Withdrawal,UPI,15391.6,398589.33
TXN000098,1703,2024-01-08 01:57:39.585958,50,Male,Delhi,Savings,Withdrawal,ATM,91576.3,369010.03
TXN000099,1402,2024-01-08 03:42:47.416741,45,Female,Delhi,Savings,Deposit,UPI,77733.98,207284.37
TXN000100,1730,2024-01-08 05:27:55.247524,26,Male,Chennai,Savings,Deposit,UPI,41991.26,425031.3
TXN000101,1556,2024-01-08 07:13:03.078307,29,Male,Pune,Savings,Withdrawal,UPI,58440.95,460689.81
TXN000102,1162,2024-01-08 08:58:10.909090,22,Male,Bangalore,Savings,Transfer,Debit Card,54226.02,229058.6
TXN000103,1202,2024-01-08 10:43:18.739873,69,Female,Bangalore,Savings,Deposit,UPI,58264.78,24528.54
TXN000104,1958,2024-01-08 12:28:26.570657,45,Female,Hyderabad,Savings,Withdrawal,UPI,86025.51,257172.79
TXN000105,1996,2024-01-08 14:13:34.401440,52,Male,Chennai,Savings,Transfer,ATM,20091.95,371142.82
TXN000106,1270,2024-01-08 15:58:42.232223,22,Female,Bangalore,Savings,Withdrawal,Debit Card,68403.03,113917.69
TXN000107,1863,2024-01-08 17:43:50.063006,51,Female,Pune,Savings,Withdrawal,ATM,10792.58,54218.01
TXN000108,1816,2024-01-08 19:28:57.893789,63,Female,Delhi,Current,Withdrawal,UPI,45970.48,146181.25
TXN000109,1271,2024-01-08 21:14:05.724572,51,Male,Chennai,Current,Transfer,UPI,63620.3,10735.51
TXN000110,1456,2024-01-08 22:59:13.555355,30,Male,Mumbai,Savings,Withdrawal,UPI,1348.92,359158.51
TXN000111,1462,2024-01-09 00:44:21.386138,56,Female,Chennai,Current,Transfer,ATM,10895.82,77303.84
TXN000112,1727,2024-01-09 02:29:29.216921,59,Male,Chennai,Savings,Withdrawal,UPI,9217.55,363206.27
TXN000113,1252,2024-01-09 04:14:37.047704,62,Female,Pune,Current,Transfer,UPI,37531.79,121101.26
TXN000114,1702,2024-01-09 05:59:44.878487,65,Female,Pune,Savings,Transfer,ATM,62238.69,496070.74
TXN000115,1296,2024-01-09 07:44:52.709270,31,Female,Bangalore,Savings,Withdrawal,UPI,99596.91,268238.71
TXN000116,1725,2024-01-09 09:30:00.540054,28,Male,Hyderabad,Savings,Withdrawal,Debit Card,25482.48,25462.73
TXN000117,1720,2024-01-09 11:15:08.370837,59,Male,Hyderabad,Savings,Withdrawal,UPI,13682.36,387476.04
TXN000118,1749,2024-01-09 13:00:16.201620,55,Female,Pune,Savings,Transfer,Net Banking,41534.79,207994.67
TXN000119,1338,2024-01-09 14:45:24.032403,21,Male,Bangalore,Savings,Transfer,Net Banking,14682.95,305624.04
TXN000120,1879,2024-01-09 16:30:31.863186,70,Female,Bangalore,Savings,Deposit,Debit Card,2552.0,475850.55
TXN000121,1053,2024-01-09 18:15:39.693969,50,Male,Bangalore,Current,Withdrawal,Net Banking,56439.51,261048.54
TXN000122,1792,2024-01-09 20:00:47.524752,24,Male,Pune,Savings,Transfer,UPI,87969.29,403166.3
TXN000123,1922,2024-01-09 21:45:55.355535,58,Male,Hyderabad,Savings,Withdrawal,Debit Card,86098.93,154882.44
TXN000124,1217,2024-01-09 23:31:03.186318,25,Female,Bangalore,Savings,Withdrawal,UPI,10168.78,358687.92
TXN000125,1764,2024-01-10 01:16:11.017101,54,Female,Pune,Current,Deposit,Debit Card,14832.94,54164.89
TXN000126,1188,2024-01-10 03:01:18.847884,68,Female,Mumbai,Savings,Withdrawal,UPI,49162.99,447207.78
TXN000127,1380,2024-01-10 04:46:26.678667,27,Male,Mumbai,Savings,Transfer,UPI,36834.88,103874.97
TXN000128,1493,2024-01-10 06:31:34.509450,60,Female,Delhi,Savings,Transfer,Net Banking,70337.15,154455.12
TXN000129,1041,2024-01-10 08:16:42.340234,32,Female,Mumbai,Savings,Deposit,UPI,49544.61,479314.88
TXN000130,1157,2024-01-10 10:01:50.171017,55,Female,Chennai,Savings,Withdrawal,Debit Card,2109.81,81830.73
TXN000131,1015,2024-01-10 11:46:58.001800,32,Female,Delhi,Savings,Transfer,Debit Card,28527.96,130932.83
TXN000132,1813,2024-01-10 13:32:05.832583,22,Male,Mumbai,Savings,Transfer,UPI,90159.04,292188.75
TXN000133,1065,2024-01-10 15:17:13.663366,46,Male,Chennai,Savings,Withdrawal,ATM,51199.73,490443.53
TXN000134,1857,2024-01-10 17:02:21.494149,36,Female,Mumbai,Savings,Deposit,UPI,79815.08,347252.64
TXN000135,1839,2024-01-10 18:47:29.324932,68,Male,Pune,Savings,Withdrawal,Net Banking,40289.38,61524.09
TXN000136,1521,2024-01-10 20:32:37.155715,27,Male,Chennai,Savings,Transfer,Net Banking,67728.67,375317.99
TXN000137,1344,2024-01-10 22:17:44.986498,29,Male,Bangalore,Current,Withdrawal,Debit Card,16983.42,215976.65
TXN000138,1129,2024-01-11 00:02:52.817281,21,Male,Pune,Savings,Transfer,Debit Card,73679.67,496202.83
TXN000139,1648,2024-01-11 01:48:00.648064,48,Male,Chennai,Current,Withdrawal,UPI,78679.45,316214.94
TXN000140,1472,2024-01-11 03:33:08.478847,35,Female,Pune,Savings,Transfer,UPI,9105.01,268318.17
TXN000141,1063,2024-01-11 05:18:16.309630,33,Male,Bangalore,Savings,Transfer,UPI,18412.74,280846.25
TXN000142,1139,2024-01-11 07:03:24.140414,57,Female,Chennai,Current,Withdrawal,ATM,46342.64,322573.1
TXN000143,1499,2024-01-11 08:48:31.971197,53,Female,Chennai,Savings,Transfer,UPI,63779.93,367255.49
TXN000144,1593,2024-01-11 10:33:39.801980,42,Female,Pune,Savings,Transfer,ATM,63785.38,43769.31
TXN000145,1392,2024-01-11 12:18:47.632763,40,Male,Mumbai,Savings,Transfer,Debit Card,66853.48,69681.41
TXN000146,1675,2024-01-11 14:03:55.463546,29,Male,Chennai,Savings,Withdrawal,UPI,71470.08,153736.47
TXN000147,1419,2024-01-11 15:49:03.294329,51,Male,Mumbai,Current,Withdrawal,UPI,50626.09,241587.39
TXN000148,1289,2024-01-11 17:34:11.125112,53,Male,Chennai,Savings,Deposit,UPI,57528.06,158978.36
TXN000149,1379,2024-01-11 19:19:18.955895,54,Female,Hyderabad,Savings,Deposit,Debit Card,939.77,110849.87
TXN000150,1773,2024-01-11 21:04:26.786678,20,Female,Delhi,Savings,Withdrawal,UPI,16743.41,462889.71
TXN000151,1490,2024-01-11 22:49:34.617461,26,Female,Mumbai,Current,Withdrawal,UPI,49906.55,21137.26
TXN000152,1231,2024-01-12 00:34:42.448244,70,Male,Mumbai,Current,Deposit,Debit Card,74584.75,469655.59
TXN000153,1041,2024-01-12 02:19:50.279027,35,Female,Bangalore,Savings,Transfer,UPI,80911.6,454084.95
TXN000154,1028,2024-01-12 04:04:58.109810,60,Female,Hyderabad,Savings,Withdrawal,UPI,72921.47,343471.97
TXN000155,1135,2024-01-12 05:50:05.940594,52,Female,Bangalore,Current,Withdrawal,Debit Card,48691.63,21104.62
TXN000156,1201,2024-01-12 07:35:13.771377,51,Male,Hyderabad,Savings,Withdrawal,ATM,28199.63,116551.0
TXN000157,1840,2024-01-12 09:20:21.602160,58,Female,Hyderabad,Current,Deposit,ATM,44527.14,489654.81
TXN000158,1780,2024-01-12 11:05:29.432943,31,Female,Pune,Current,Transfer,UPI,1028.56,453445.43
TXN000159,1930,2024-01-12 12:50:37.263726,21,Male,Pune,Savings,Deposit,UPI,59836.15,482463.12
TXN000160,1033,2024-01-12 14:35:45.094509,46,Female,Pune,Savings,Withdrawal,ATM,7549.23,498080.96
TXN000161,1048,2024-01-12 16:20:52.925292,58,Male,Chennai,Current,Withdrawal,UPI,14624.47,36624.3
TXN000162,1503,2024-01-12 18:06:00.756075,62,Female,Bangalore,Savings,Withdrawal,Net Banking,62635.06,287576.96
TXN000163,1407,2024-01-12 19:51:08.586858,67,Male,Delhi,Savings,Withdrawal,UPI,1433.53,417898.12
TXN000164,1574,2024-01-12 21:36:16.417641,32,Male,Hyderabad,Savings,Deposit,UPI,57398.18,163255.94
TXN000165,1728,2024-01-12 23:21:24.248424,45,Male,Hyderabad,Current,Deposit,UPI,63874.17,220601.57
TXN000166,1805,2024-01-13 01:06:32.079207,59,Female,Mumbai,Savings,Withdrawal,Net Banking,78848.67,145450.63
TXN000167,1099,2024-01-13 02:51:39.909990,33,Female,Chennai,Savings,Transfer,ATM,6896.25,23845.71
TXN000168,1684,2024-01-13 04:36:47.740774,29,Male,Delhi,Savings,Withdrawal,UPI,392.87,40993.1
TXN000169,1872,2024-01-13 06:21:55.571557,69,Male,Pune,Savings,Deposit,ATM,76709.1,15613.68
TXN000170,1726,2024-01-13 08:07:03.402340,22,Male,Hyderabad,Savings,Deposit,UPI,29076.38,265986.0
TXN000171,1987,2024-01-13 09:52:11.233123,51,Male,Mumbai,Savings,Withdrawal,ATM,88731.8,311119.43
TXN000172,1547,2024-01-13 11:37:19.063906,59,Male,Bangalore,Current,Withdrawal,UPI,18578.36,157312.33
TXN000173,1961,2024-01-13 13:22:26.894689,18,Male,Hyderabad,Current,Deposit,UPI,58592.02,413943.53
TXN000174,1739,2024-01-13 15:07:34.725472,56,Male,Mumbai,Current,Withdrawal,UPI,11030.03,444566.61
TXN000175,1613,2024-01-13 16:52:42.556255,49,Male,Bangalore,Savings,Deposit,UPI,40328.75,74175.41
TXN000176,1943,2024-01-13 18:37:50.387038,43,Male,Chennai,Savings,Withdrawal,UPI,88218.23,30702.61
TXN000177,1462,2024-01-13 20:22:58.217821,34,Male,Pune,Savings,Deposit,UPI,60873.92,163093.4
TXN000178,1643,2024-01-13 22:08:06.048604,65,Male,Bangalore,Savings,Transfer,UPI,68992.74,357928.83
TXN000179,1769,2024-01-13 23:53:13.879387,44,Male,Hyderabad,Savings,Deposit,Net Banking,22674.44,256174.83
TXN000180,1005,2024-01-14 01:38:21.710171,41,Female,Delhi,Savings,Withdrawal,ATM,92282.82,246604.55
TXN000181,1218,2024-01-14 03:23:29.540954,52,Male,Bangalore,Savings,Transfer,Net Banking,62385.9,80443.15
TXN000182,1503,2024-01-14 05:08:37.371737,63,Female,Delhi,Savings,Deposit,UPI,10677.96,178969.79
TXN000183,1767,2024-01-14 06:53:45.202520,59,Female,Delhi,Current,Withdrawal,UPI,1653.67,479651.17
TXN000184,1398,2024-01-14 08:38:53.033303,56,Female,Bangalore,Savings,Deposit,Debit Card,1690.66,173577.42
TXN000185,1871,2024-01-14 10:24:00.864086,43,Male,Chennai,Current,Deposit,ATM,5216.06,297759.04
TXN000186,1795,2024-01-14 12:09:08.694869,66,Female,Bangalore,Current,Withdrawal,ATM,91170.42,33882.71
TXN000187,1393,2024-01-14 13:54:16.525652,55,Male,Mumbai,Savings,Transfer,ATM,35902.04,36607.86
TXN000188,1207,2024-01-14 15:39:24.356435,40,Female,Pune,Savings,Withdrawal,ATM,29893.43,215005.73
TXN000189,1015,2024-01-14 17:24:32.187218,39,Male,Delhi,Current,Withdrawal,Debit Card,41712.92,304035.62
TXN000190,1858,2024-01-14 19:09:40.018001,21,Male,Pune,Savings,Withdrawal,Debit Card,41016.2,189308.82
TXN000191,1554,2024-01-14 20:54:47.848784,66,Female,Hyderabad,Savings,Withdrawal,Net Banking,23925.48,93611.72
TXN000192,1892,2024-01-14 22:39:55.679567,26,Female,Delhi,Current,Withdrawal,Net Banking,9273.62,369298.87
TXN000193,1461,2024-01-15 00:25:03.510351,21,Male,Hyderabad,Savings,Deposit,UPI,10951.8,74321.69
TXN000194,1691,2024-01-15 02:10:11.341134,24,Female,Mumbai,Savings,Withdrawal,UPI,59958.95,335668.29
TXN000195,1575,2024-01-15 03:55:19.171917,40,Male,Mumbai,Savings,Withdrawal,UPI,39743.82,478583.57
TXN000196,1864,2024-01-15 05:40:27.002700,19,Male,Pune,Savings,Transfer,UPI,90255.29,237915.74
TXN000197,1743,2024-01-15 07:25:34.833483,66,Male,Mumbai,Savings,Deposit,UPI,46427.3,104214.67
TXN000198,1241,2024-01-15 09:10:42.664266,41,Female,Bangalore,Savings,Withdrawal,UPI,50398.81,421780.99
TXN000199,1564,2024-01-15 10:55:50.495049,57,Male,Delhi,Savings,Deposit,UPI,92831.67,255210.72
TXN000200,1096,2024-01-15 12:40:58.325832,48,Male,Hyderabad,Savings,Deposit,ATM,50213.91,461994.9
TXN000201,1900,2024-01-15 14:26:06.156615,64,Male,Pune,Current,Withdrawal,UPI,50248.0,361690.11
TXN000202,1734,2024-01-15 16:11:13.987398,48,Male,Pune,Savings,Transfer,ATM,36379.98,218151.75
TXN000203,1485,2024-01-15 17:56:21.818181,64,Female,Mumbai,Savings,Withdrawal,UPI,71070.14,310605.22
TXN000204,1407,2024-01-15 19:41:29.648964,57,Female,Mumbai,Savings,Deposit,Debit Card,39283.54,89132.39
TXN000205,1231,2024-01-15 21:26:37.479747,65,Female,Hyderabad,Savings,Transfer,Debit Card,58873.38,196679.05
TXN000206,1749,2024-01-15 23:11:45.310531,68,Female,Delhi,Savings,Deposit,UPI,44794.79,298966.28
TXN000207,1655,2024-01-16 00:56:53.141314,60,Male,Delhi,Savings,Withdrawal,Net Banking,52921.61,297070.72
TXN000208,1171,2024-01-16 02:42:00.972097,51,Male,Pune,Savings,Withdrawal,UPI,82720.03,295671.61
TXN000209,1541,2024-01-16 04:27:08.802880,41,Male,Hyderabad,Savings,Withdrawal,Debit Card,41431.93,373050.36
TXN000210,1036,2024-01-16 06:12:16.633663,66,Male,Pune,Savings,Transfer,ATM,23084.77,57298.43
TXN000211,1525,2024-01-16 07:57:24.464446,43,Male,Chennai,Current,Withdrawal,UPI,57075.01,41460.26
TXN000212,1160,2024-01-16 09:42:32.295229,33,Male,Delhi,Current,Deposit,UPI,93757.13,78270.26
TXN000213,1839,2024-01-16 11:27:40.126012,64,Female,Hyderabad,Savings,Withdrawal,UPI,69351.88,397235.18
TXN000214,1699,2024-01-16 13:12:47.956795,30,Male,Hyderabad,Savings,Withdrawal,Net Banking,30905.49,37102.6
TXN000215,1243,2024-01-16 14:57:55.787578,32,Male,Pune,Current,Deposit,ATM,96303.08,116491.56
TXN000216,1086,2024-01-16 16:43:03.618361,44,Male,Mumbai,Current,Transfer,UPI,34337.42,131114.12
TXN000217,1796,2024-01-16 18:28:11.449144,21,Female,Hyderabad,Savings,Deposit,ATM,98327.08,325389.55
TXN000218,1578,2024-01-16 20:13:19.279927,33,Male,Pune,Savings,Withdrawal,UPI,19279.77,203806.62
TXN000219,1682,2024-01-16 21:58:27.110711,47,Male,Bangalore,Current,Withdrawal,UPI,99964.99,103501.65
TXN000220,1557,2024-01-16 23:43:34.941494,61,Male,Mumbai,Savings,Transfer,Net Banking,7682.97,227521.54
TXN000221,1574,2024-01-17 01:28:42.772277,47,Female,Mumbai,Savings,Withdrawal,ATM,71352.66,344298.42
TXN000222,1953,2024-01-17 03:13:50.603060,53,Male,Delhi,Savings,Withdrawal,UPI,74070.11,394095.68
TXN000223,1646,2024-01-17 04:58:58.433843,20,Male,Chennai,Savings,Deposit,Net Banking,67989.51,66322.18
TXN000224,1796,2024-01-17 06:44:06.264626,39,Female,Delhi,Savings,Withdrawal,UPI,77782.92,358784.22
TXN000225,1028,2024-01-17 08:29:14.095409,66,Male,Bangalore,Current,Deposit,UPI,47236.11,7238.72
TXN000226,1620,2024-01-17 10:14:21.926192,39,Female,Pune,Savings,Transfer,UPI,5505.98,363540.22
TXN000227,1556,2024-01-17 11:59:29.756975,67,Male,Mumbai,Savings,Deposit,ATM,35839.55,332196.91
TXN000228,1340,2024-01-17 13:44:37.587758,67,Female,Mumbai,Savings,Deposit,ATM,64267.22,236989.96
TXN000229,1798,2024-01-17 15:29:45.418541,66,Male,Hyderabad,Savings,Withdrawal,UPI,64660.08,72752.27
TXN000230,1958,2024-01-17 17:14:53.249324,29,Male,Chennai,Savings,Transfer,Debit Card,19599.86,383451.76
TXN000231,1331,2024-01-17 19:00:01.080108,38,Female,Chennai,Savings,Withdrawal,Debit Card,25375.22,40517.78
TXN000232,1640,2024-01-17 20:45:08.910891,21,Male,Hyderabad,Current,Deposit,ATM,48721.14,448306.46
